n,sigma_c,c_mod_T,k,label,certifiable
2470059,0.33759531867690384,61.399999999842066,27784.0,run34,0
2470148,0.3375603414606303,61.49999999984206,27785.0,run34,0
2470237,0.33752537448890507,61.599999999842055,27786.0,run34,0
2470326,0.33749041776172817,61.69999999984205,27787.0,run34,0
2470415,0.3374554708134383,61.79999999984204,27788.0,run34,0
2470504,0.3903232670854777,61.89999999984204,27789.0,run34,0
2470593,0.39026914280839264,61.99999999984203,27790.0,run34,0
2470682,0.3902150497306138,62.09999999984203,27791.0,run34,0
2470771,0.3901609869208187,62.19999999984202,27792.0,run34,0
2470860,0.3901069543790072,62.299999999842015,27793.0,run34,0
2470949,0.3900529525708407,62.39999999984201,27794.0,run34,0
2471038,0.007304810686036944,62.499999999842004,27795.0,run34,1
2471127,0.007301176665350795,62.599999999842,27796.0,run34,1
2471216,0.0072975431103259325,62.69999999984199,27797.0,run34,1
2471305,0.00729390955530107,62.79999999984199,27798.0,run34,1
2471394,0.007290276465937495,62.89999999984198,27799.0,run34,1
2471483,0.0072866438422352076,62.999999999841975,27800.0,run34,1
2471572,0.00728301121853292,63.09999999984197,27801.0,run34,1
2471661,0.0072793790604919195,63.199999999841964,27802.0,run34,1
2471750,0.0072757473681122065,63.29999999984196,27803.0,run34,1
2471839,0.007272115675732493,63.39999999984195,27804.0,run34,1
2471928,0.007268484449014068,63.49999999984195,27805.0,run34,1
2472016,0.007347143022343516,62.59999999984194,27806.0,run34,1
2472105,0.007343509001657367,62.699999999841936,27807.0,run34,1
2472194,0.007339874980971217,62.79999999984193,27808.0,run34,1
2472283,0.0073362409602850676,62.899999999841924,27809.0,run34,1
2472372,0.007332607870921493,62.99999999984192,27810.0,run34,1
2472461,0.00732897431589663,63.09999999984191,27811.0,run34,1
2472550,0.007325341692194343,63.19999999984191,27812.0,run34,1
2472639,0.007321709068492055,63.2999999998419,27813.0,run34,1
2472728,0.007318076910451055,63.399999999841896,27814.0,run34,1
2472817,0.007314444752410054,63.49999999984189,27815.0,run34,1
2472906,0.007310813060030341,63.599999999841884,27816.0,run34,1
2472995,0.007307181833311915,63.69999999984188,27817.0,run34,1
2473084,0.00730355060659349,63.79999999984187,27818.0,run34,1
2473173,0.007299919845536351,63.89999999984187,27819.0,run34,1
2473262,0.007296289084479213,63.99999999984186,27820.0,run34,1
2473351,0.007292658789083362,64.09999999984186,27821.0,run34,1
2473440,0.007289028959348798,64.19999999984185,27822.0,run34,1
2473529,0.007285399129614234,64.29999999984184,27823.0,run34,1
2473618,0.0072817697655409575,64.39999999984184,27824.0,run34,1
2473707,0.007278140867128968,64.49999999984183,27825.0,run34,1
2473796,0.007274511968716979,64.59999999984183,27826.0,run34,1
2473885,0.007270883535966277,64.69999999984182,27827.0,run34,1
2473974,0.007267255103215575,64.79999999984182,27828.0,run34,1
2474063,0.007263627136126161,64.89999999984181,27829.0,run34,1
2474152,0.007259999634698033,64.9999999998418,27830.0,run34,1
2474240,0.007338586496189237,64.0999999998418,27831.0,run34,1
2474329,0.007334955735132098,64.1999999998418,27832.0,run34,1
2474418,0.007331325439736247,64.29999999984179,27833.0,run34,1
2474507,0.007327695144340396,64.39999999984178,27834.0,run34,1
2474596,0.007324065314605832,64.49999999984178,27835.0,run34,1
2474685,0.007320435950532556,64.59999999984177,27836.0,run34,1
2474774,0.007316806586459279,64.69999999984176,27837.0,run34,1
2474863,0.00731317768804729,64.79999999984176,27838.0,run34,1
2474952,0.007309549255296588,64.89999999984175,27839.0,run34,1
2475041,0.007305920822545886,64.99999999984175,27840.0,run34,1
